ANA,AN*,A**,***
ARZ,AR*,A**,***
ATL,AT*,A**,***
BAL,BA*,B**,***
BOS,BO*,B**,***
CHC,CH*,C**,***
CIN,CI*,C**,***
CLE,CL*,C**,***
COL,CO*,C**,***
CWS,CW*,C**,***
DET,DE*,D**,***
FLA,FL*,F**,***
HOU,HO*,H**,***
KC,KC*,K**,***
LA,LA*,L**,***
MIN,MI*,M**,***
MLW,ML*,M**,***
NYM,NY*,N**,***
NYY,NY*,N**,***
OAK,OA*,O**,***
PHI,PH*,P**,***
PIT,PI*,P**,***
SD,SD*,S**,***
SEA,SE*,S**,***
SF,SF*,S**,***
STL,ST*,S**,***
TB,TB*,T**,***
TEX,TE*,T**,***
TOR,TO*,T**,***
WAS,WA*,W**,***
