234,"[230, 240[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
235,"[230, 240[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
237,"[230, 240[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
238,"[230, 240[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
239,"[230, 240[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
240,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
241,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
244,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
245,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
246,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
249,"[240, 250[","[230, 250[","[230, 270[","[230, 291[","[150, 291[",*
250,"[250, 260[","[250, 270[","[230, 270[","[230, 291[","[150, 291[",*
254,"[250, 260[","[250, 270[","[230, 270[","[230, 291[","[150, 291[",*
255,"[250, 260[","[250, 270[","[230, 270[","[230, 291[","[150, 291[",*
257,"[250, 260[","[250, 270[","[230, 270[","[230, 291[","[150, 291[",*
260,"[260, 270[","[250, 270[","[230, 270[","[230, 291[","[150, 291[",*
270,"[270, 280[","[270, 290[","[270, 291[","[230, 291[","[150, 291[",*
275,"[270, 280[","[270, 290[","[270, 291[","[230, 291[","[150, 291[",*
278,"[270, 280[","[270, 290[","[270, 291[","[230, 291[","[150, 291[",*
290,"[290, 291[","[290, 291[","[270, 291[","[230, 291[","[150, 291[",*
NULL,NULL,NULL,NULL,NULL,NULL,*
